date,count,directions,directions_lag1,directions_lag2,directions_lag3,directions_roll7,precip,temp,sun,wind,precip_lag1,is_weekend_or_holiday,weather_severity,dow_mean_count,weekend_x_severity,weekend_x_intent,month
2024-12-20,3778,2299.0,,,,2299.0,0.0,3.658333333333333,0.51,3.4916666666666667,,0,0,7220.118644067797,0,0.0,12
2024-12-21,7411,3070.0,2299.0,,,2684.5,10.5,6.433333333333334,0.16,6.495833333333334,0.0,1,2,11853.169491525423,2,3070.0,12
2024-12-22,5748,2890.0,3070.0,2299.0,,2753.0,16.0,4.783333333333333,0.13999999999999999,7.1875,10.5,1,2,12127.36507936508,2,2890.0,12
2024-12-23,3363,2279.0,2890.0,3070.0,2299.0,2634.5,12.0,3.216666666666667,0.08,4.495833333333334,16.0,0,2,8486.285714285714,0,0.0,12
2024-12-24,2835,2055.0,2279.0,2890.0,3070.0,2518.6,20.0,3.9583333333333335,0.04,3.033333333333333,12.0,0,2,6847.360655737705,0,0.0,12
2024-12-25,5189,2345.0,2055.0,2279.0,2890.0,2489.6666666666665,0.0,4.608333333333333,0.33999999999999997,4.3125,20.0,0,0,6192.406779661017,0,0.0,12
2024-12-26,3774,2704.0,2345.0,2055.0,2279.0,2520.285714285714,8.5,8.025,0.01,5.2875000000000005,0.0,0,1,6770.714285714285,0,0.0,12
2024-12-27,5116,3209.0,2704.0,2345.0,2055.0,2650.285714285714,15.5,5.520833333333333,0.14,5.345833333333334,8.5,0,2,7220.118644067797,0,0.0,12
2024-12-28,6610,4111.0,3209.0,2704.0,2345.0,2799.0,18.5,3.158333333333333,0.03,4.208333333333333,15.5,1,2,11853.169491525423,2,4111.0,12
2024-12-29,9074,4893.0,4111.0,3209.0,2704.0,3085.1428571428573,25.0,3.475,0.05,4.404166666666667,18.5,1,2,12127.36507936508,2,4893.0,12
2024-12-31,9548,2894.0,4893.0,4111.0,3209.0,3173.0,11.5,6.845833333333334,0.18,7.233333333333333,25.0,0,2,6847.360655737705,0,0.0,12
2025-01-01,11711,3490.0,2894.0,4893.0,4111.0,3378.0,0.0,5.954166666666667,0.32,3.8791666666666664,11.5,1,0,6192.406779661017,0,3490.0,1
2025-01-02,9684,6239.0,3490.0,2894.0,4893.0,3934.285714285714,7.0,5.854166666666667,0.12000000000000002,2.9166666666666665,0.0,0,1,6770.714285714285,0,0.0,1
2025-01-03,8443,5482.0,6239.0,3490.0,2894.0,4331.142857142857,19.5,4.058333333333334,0.09,4.583333333333333,7.0,0,2,7220.118644067797,0,0.0,1
2025-01-04,10351,4880.0,5482.0,6239.0,3490.0,4569.857142857143,1.5,3.7583333333333333,0.35,3.345833333333333,19.5,1,1,11853.169491525423,1,4880.0,1
2025-01-05,6061,4212.0,4880.0,5482.0,6239.0,4584.285714285715,11.0,4.416666666666667,0.4,4.925,1.5,1,2,12127.36507936508,2,4212.0,1
2025-01-06,2838,3248.0,4212.0,4880.0,5482.0,4349.285714285715,20.5,5.654166666666666,0.0,4.583333333333333,11.0,0,2,8486.285714285714,0,0.0,1
2025-01-07,2111,2972.0,3248.0,4212.0,4880.0,4360.428571428572,12.5,6.0125,0.039999999999999994,6.325,20.5,0,2,6847.360655737705,0,0.0,1
2025-01-08,1372,2867.0,2972.0,3248.0,4212.0,4271.428571428572,18.5,3.7416666666666667,0.06999999999999999,6.479166666666667,12.5,0,2,6192.406779661017,0,0.0,1
2025-01-09,1814,2941.0,2867.0,2972.0,3248.0,3800.285714285714,14.0,2.316666666666667,0.16,6.533333333333334,18.5,0,2,6770.714285714285,0,0.0,1
2025-01-10,2249,3606.0,2941.0,2867.0,2972.0,3532.285714285714,10.0,2.2625,0.13,5.075,14.0,0,1,7220.118644067797,0,0.0,1
